
2023-01-07 19:04:37:	11.8 中国民主革命纲领的制定
2023-01-07 19:04:48:	1.[单选题] 中国共产党不仅是（）的先锋队，还是中国人民和中华民族的先锋队。
2023-01-07 19:04:58:	答案为:B
2023-01-07 19:05:00:	2.[判断题] 中国共产党的成立使中国革命有了坚强的领导中心。
2023-01-07 19:05:08:	答案为:A
2023-01-07 19:05:12:	该小节已完成......
2023-01-07 19:05:14:	12.1 国民革命与国共合作的建立
2023-01-07 19:05:25:	1.[单选题] 中共三大的中心议题是（）。
2023-01-07 19:05:33:	答案为:D
2023-01-07 19:05:37:	2.[单选题] 以下不属于毛泽东关于国民革命的论著的是（）。
2023-01-07 19:05:46:	答案为:D
2023-01-07 19:05:49:	3.[判断题] 陈独秀提出无产阶级与资产阶级联合起来进行国民革命的第一步是成立国民军。
2023-01-07 19:05:56:	答案为:A
2023-01-07 19:05:57:	4.[判断题] 共产党与国民党的第一次合作属于党外合作。
2023-01-07 19:06:06:	答案为:B
2023-01-07 19:06:09:	该小节已完成......
2023-01-07 19:06:11:	12.2 中国国民党一大与国民革命的高潮（一）
2023-01-07 19:06:22:	1.[单选题] 国民党一大召开的时间和地点是（）。
2023-01-07 19:06:31:	答案为:['1924年1月', '广州\n']
2023-01-07 19:06:33:	2.[单选题] 孙中山通过（）最早公开提出联俄政策。
2023-01-07 19:06:41:	答案为:B
2023-01-07 19:06:42:	3.[判断题] 经过国民党一大的讨论，只有中国共产党党员被允许以个人身份加入国民党。
2023-01-07 19:06:51:	答案为:B
2023-01-07 19:06:57:	该小节已保存......
2023-01-07 19:06:59:	12.3 中国国民党一大与国民革命的高潮（二）
2023-01-07 19:07:08:	1.[单选题] 黄埔军校建成后，（）担任党代表。
2023-01-07 19:07:15:	答案为:C
2023-01-07 19:07:19:	2.[单选题] 关于蒋介石担任黄埔军校校长的原因，以下论述不正确的是（）。
2023-01-07 19:07:27:	答案为:蒋介石的军事指挥能力非常卓越
2023-01-07 19:07:28:	3.[判断题] 周恩来在担任黄埔军校政治部主任期间，奠定了军队开展政治工作的基础。
2023-01-07 19:07:35:	答案为:A
2023-01-07 19:07:39:	该小节已完成......
2023-01-07 19:07:41:	12.4 中国国民党一大与国民革命的高潮（三）
2023-01-07 19:07:52:	1.[单选题] 被称为“农民运动大王”的是（）。
2023-01-07 19:08:00:	答案为:D
2023-01-07 19:08:03:	2.[单选题] （）标志着国民革命高潮的到来。
2023-01-07 19:08:12:	答案为:B
2023-01-07 19:08:14:	3.[判断题] 大革命是近代中国历史上空前广泛而深刻的群众运动。
2023-01-07 19:08:22:	答案为:A
2023-01-07 19:08:26:	该小节已完成......
2023-01-07 19:08:28:	12.5 大革命中的中国共产党
2023-01-07 19:08:39:	1.[单选题] 大革命“反对帝国主义、反对军阀”的政治口号是（）提出的。
2023-01-07 19:08:48:	答案为:正确
2023-01-07 19:08:58:	该单选题未完成.......
2023-01-07 19:08:58:	2.[判断题] 大革命是在以国共合作为基础的统一战线的组织形式下进行的。
2023-01-07 19:09:06:	答案为:A
2023-01-07 19:09:12:	该小节已保存......
2023-01-07 19:09:13:	12.6 国民革命意义、失败原因与经验教训（一）
2023-01-07 19:09:25:	1.[单选题] 1924年年底，孙中山北上的原因是（）。
2023-01-07 19:09:31:	答案为:C
2023-01-07 19:09:32:	2.[判断题] 中山舰事件和整理党务案事件都是蒋介石发动的排挤共产党的事件。
2023-01-07 19:09:40:	答案为:A
2023-01-07 19:09:43:	该小节已完成......
2023-01-07 19:09:45:	12.7 国民革命意义、失败原因与经验教训（二）
2023-01-07 19:09:55:	1.[单选题] 下列对中国共产党在国民革命中的表现概述不正确的是（）。
2023-01-07 19:10:05:	答案为:C
2023-01-07 19:10:08:	2.[单选题] （）宣告了国民革命的失败。
2023-01-07 19:10:15:	答案为:解析:
2023-01-07 19:10:25:	该单选题未完成.......
2023-01-07 19:10:25:	3.[判断题] 国民革命培养了中国革命的群众基础和组织基础。
2023-01-07 19:10:35:	答案为:A
2023-01-07 19:10:41:	该小节已保存......
2023-01-07 19:28:15:	

2023-01-07 19:28:15:	12.7 国民革命意义、失败原因与经验教训（二）
2023-01-07 19:28:24:	1.[单选题] 下列对中国共产党在国民革命中的表现概述不正确的是（）。
2023-01-07 19:28:33:	答案为:C
2023-01-07 19:28:37:	2.[单选题] （）宣告了国民革命的失败。
2023-01-07 19:28:46:	答案为:解析:
2023-01-07 19:28:55:	该单选题未完成.......
2023-01-07 19:28:55:	3.[判断题] 国民革命培养了中国革命的群众基础和组织基础。
2023-01-07 19:29:02:	答案为:A
2023-01-07 19:29:08:	该小节已保存......
2023-01-07 19:29:09:	

2023-01-07 19:29:09:	13.1 中国国民党在全国统治的确立（一）
2023-01-07 19:29:21:	1.[单选题] 1927年，蒋介石在（）成立了国民政府。
2023-01-07 19:29:28:	答案为:B
2023-01-07 19:29:31:	2.[单选题] （）标志着国民党形成了以蒋介石为核心的统一政党。
2023-01-07 19:29:38:	答案为:C
2023-01-07 19:29:39:	3.[判断题] 蒋介石辞职标志着国民党宁、汉政权的合作。
2023-01-07 19:29:47:	答案为:B
2023-01-07 19:29:51:	该小节已完成......
2023-01-07 19:29:51:	

2023-01-07 19:29:51:	13.2 中国国民党在全国统治的确立（二）
2023-01-07 19:30:03:	1.[单选题] 为了控制人民，国民党推行保甲制度，保与甲的关系是（）。
2023-01-07 19:30:11:	答案为:百保为甲
2023-01-07 19:30:15:	2.[单选题] 以蒋介石为代表的国民党政权的经济基础是（）。
2023-01-07 19:30:22:	答案为:A
2023-01-07 19:30:23:	3.[判断题] 1927年至1937年十年间，中国的重工业、交通运输业基本被帝国主义垄断。
2023-01-07 19:30:31:	答案为:A
2023-01-07 19:30:35:	该小节已完成......
2023-01-07 19:30:36:	

2023-01-07 19:30:36:	13.3 土地革命战争的兴起（一）
2023-01-07 19:30:47:	1.[单选题] 下列关于八七会议的说法不正确的是（）。
2023-01-07 19:30:54:	答案为:C
2023-01-07 19:30:57:	2.[判断题] 中国共产党人面对严刑拷打绝不屈服的根本原因就是具有坚定的共产主义信仰。
2023-01-07 19:31:06:	答案为:A
2023-01-07 19:31:07:	3.[判断题] 八七会议彻底清算了大革命后期的陈独秀右倾机会主义错误，确定了土地革命和武装反抗国民党反动统治的总方针。
2023-01-07 19:31:15:	答案为:B
2023-01-07 19:31:19:	该小节已完成......
2023-01-07 19:31:21:	

2023-01-07 19:31:21:	13.4 土地革命战争的兴起（二）
2023-01-07 19:31:33:	1.[单选题] 广州起义的时间是（）。
2023-01-07 19:31:40:	答案为:D
2023-01-07 19:31:43:	2.[单选题] 井冈山革命根据地是（）开创的。
2023-01-07 19:31:51:	答案为:C
2023-01-07 19:31:52:	3.[判断题] 南昌起义是共产党第一次独立领导的武装起义，得到了共产国际的支持。
2023-01-07 19:31:59:	答案为:B
2023-01-07 19:32:03:	该小节已完成......
2023-01-07 19:32:05:	

2023-01-07 19:32:05:	13.5 农村包围城市，武装夺取政权（一）
2023-01-07 19:32:17:	1.[单选题] 以下革命中，不是以城市为中心爆发的是（）。
2023-01-07 19:32:24:	答案为:中国的土地革命战争
2023-01-07 19:32:28:	2.[单选题] 中国革命必须走武装斗争的道路，原因不包括（）。
2023-01-07 19:32:35:	答案为:革命力量能够较快地组织起来
2023-01-07 19:32:45:	该单选题未完成.......
2023-01-07 19:32:45:	3.[判断题] 中共六届二中全会明确了中国革命必须依靠红军和苏维埃的思想。
2023-01-07 19:32:52:	答案为:A
2023-01-07 19:32:58:	该小节已保存......
2023-01-07 19:32:59:	

2023-01-07 19:32:59:	13.6 农村包围城市，武装夺取政权（二）
2023-01-07 19:33:09:	1.[单选题] 1930年1月，毛泽东在《星星之火，可以燎原》一文中指出：红军、游击队和红色区域的建立和发展，是半殖民地中国在无产阶级领导之下的（）的最高形式。
2023-01-07 19:33:17:	答案为:农民斗争
2023-01-07 19:33:21:	2.[单选题] （）标志着毛泽东思想的初步形成。
2023-01-07 19:33:29:	答案为:D
2023-01-07 19:33:30:	3.[判断题] 秋收起义后，毛泽东就已经将眼光投向了农村地区。
2023-01-07 19:33:38:	答案为:A
2023-01-07 19:33:41:	该小节已完成......
2023-01-07 19:33:44:	

2023-01-07 19:33:44:	13.7 农村包围城市，武装夺取政权（三）
2023-01-07 19:33:55:	1.[单选题] 中国共产党第一次左倾错误的代表人物是（）。
2023-01-07 19:34:04:	答案为:B
2023-01-07 19:34:08:	2.[单选题] 下面不是中国共产党第三次左倾错误代表人物的是（）。
2023-01-07 19:34:15:	答案为:C
2023-01-07 19:34:17:	3.[判断题] 没有把马克思主义理论与中国实践相结合是党的领导人犯下“左”倾错误的主要原因。
2023-01-07 19:34:24:	答案为:B
2023-01-07 19:34:28:	该小节已完成......
2023-01-07 19:49:31:	

2023-01-07 19:49:31:	13.7 农村包围城市，武装夺取政权（三）
2023-01-07 19:49:38:	

2023-01-07 19:49:38:	14.1 中国工农红军开始长征
2023-01-07 19:49:49:	1.[单选题] 红军进行长征的最主要原因是（）。
2023-01-07 19:49:58:	答案为:中共在第五次反围剿中失败。
2023-01-07 19:50:04:	该单选题未完成.......
2023-01-07 19:50:07:	2.[单选题] 长征初期，负责红军战略转移的三人团成员中不包括（）。
2023-01-07 19:50:14:	答案为:C
2023-01-07 19:50:15:	3.[判断题] 长征初期，国民党设置的四道封锁线都被红军突破了。
2023-01-07 19:50:24:	答案为:A
2023-01-07 19:50:30:	该小节已保存......
2023-01-07 19:50:30:	
